"Plasma_lipid","Intestinal_ba","bicor","adj_pval"
"TG.46.3.FA14.0","3a7b",-0.536347056325124,0.922209179140693
"TG.46.3.FA14.1","3a7b",-0.498027768687739,0.392361879783371
"TG.46.3.FA16.0","3a7b",-0.205900961261868,0.684825042137139
"TG.46.3.FA16.1","3a7b",-0.293321205048793,0.470349530455824
"TG.46.3.FA18.1","3a7b",-0.420650113532759,0.1740931544254
"TG.46.3.FA18.2","3a7b",-0.499003730793432,0.158990055037266
"TG.46.3.FA18.3","3a7b",-0.056414436585564,1
"TG.46.4.FA18.2","3a7b",-0.685812847398494,0.173063955414794
"TG.47.0.FA14.0","3a7b",-0.151468122875494,0.846683760383457
"TG.47.0.FA15.0","3a7b",-0.308326625985591,0.327409235316203
"TG.47.0.FA16.0","3a7b",-0.267236642789936,0.384695963675103
"TG.47.0.FA17.0","3a7b",0.0868621847189488,0.953343768013194
"TG.47.1.FA14.0","3a7b",-0.263337602114763,0.573022757358664
"TG.47.1.FA15.0","3a7b",-0.209907060195019,0.652332857829914
"TG.47.1.FA16.0","3a7b",-0.222019616733934,0.542821520589413
"TG.47.1.FA16.1","3a7b",-0.269849853845946,0.471550355059887
"TG.47.1.FA17.0","3a7b",-0.189942192387295,0.929630127612915
"TG.47.1.FA18.1","3a7b",-0.178147633202405,0.696637802972806
"TG.47.2.FA14.0","3a7b",-0.191257399179173,0.880132028307105
"TG.47.2.FA15.0","3a7b",-0.183551944620603,0.806352241547171
"TG.47.2.FA16.1","3a7b",-0.0834956790868379,0.959327273064317
"TG.47.2.FA18.1","3a7b",-0.304165648809465,0.429312190279409
"TG.47.2.FA18.2","3a7b",-0.493677827023521,0.224602663955568
"TG.48.0.FA14.0","3a7b",-0.192455147150437,0.667729478233995
"TG.48.0.FA16.0","3a7b",-0.30354867028274,0.296896550988125
"TG.48.0.FA18.0","3a7b",-0.333357622576582,0.308530751060896
"TG.48.1.FA12.0","3a7b",-0.0929442856165916,0.959493102539788
"TG.48.1.FA14.0","3a7b",-0.354813743563758,0.191206159626453
"TG.48.1.FA14.1","3a7b",-0.502100357684426,0.191206159626453
"TG.48.1.FA16.0","3a7b",-0.374887327179488,0.156340176465034
"TG.48.1.FA16.1","3a7b",-0.363867986952695,0.17463718977706
"TG.48.1.FA18.0","3a7b",-0.15971417593256,0.806799489053958
"TG.48.1.FA18.1","3a7b",-0.368819761245077,0.166538590354836
"TG.48.2.FA12.0","3a7b",-0.288751585200059,0.374073350229866
