"Liver_lipid","Liver_ba","bicor","adj_pval"
"TG.54.1.FA18.0","TLCA",0.719922098853943,1.18788228483657e-07
"TG.54.1.FA18.1","TLCA",0.716881180568438,1.40192441401815e-07
"TG.54.1.FA20.0","TLCA",0.655483236555348,3.06901763991006e-06
"TG.54.1.FA20.1","TLCA",0.722442677083802,1.09999872997622e-07
"TG.54.2.FA16.0","TLCA",0.720691247290004,1.13474518752438e-07
"TG.54.2.FA18.0","TLCA",0.724670758172306,1.09338868857077e-07
"TG.54.2.FA18.1","TLCA",0.726484880783763,1.05109451926026e-07
"TG.54.2.FA18.2","TLCA",0.684361005247785,6.71403440477749e-07
"TG.54.2.FA20.0","TLCA",0.357012098130198,0.0395737403605313
"TG.54.2.FA20.1","TLCA",0.723255841650071,1.09722550439055e-07
"TG.54.2.FA20.2","TLCA",0.686490222304528,5.98858859188224e-07
"TG.54.3.FA16.0","TLCA",0.694492445704744,4.01130350439863e-07
"TG.54.3.FA16.1","TLCA",0.714555563122219,1.54648404301461e-07
"TG.54.3.FA18.0","TLCA",0.701197894549422,2.77676747296434e-07
"TG.54.3.FA18.1","TLCA",0.727417532584327,1.03954193600369e-07
"TG.54.3.FA18.2","TLCA",0.708076238460857,1.95269444081544e-07
"TG.54.3.FA18.3","TLCA",0.67065782574564,1.44682479657122e-06
"TG.54.3.FA20.1","TLCA",0.716971661804615,1.40192441401815e-07
"TG.54.3.FA20.2","TLCA",0.686960805394045,5.87533508807635e-07
"TG.54.3.FA20.3","TLCA",0.621427764444357,1.28622882899193e-05
"TG.54.4.FA16.0","TLCA",0.638550365688299,5.9326689426001e-06
"TG.54.4.FA16.1","TLCA",0.683449806219108,7.01858115499291e-07
"TG.54.4.FA18.0","TLCA",0.300890319593687,0.0931783841100113
"TG.54.4.FA18.1","TLCA",0.700446625888673,2.83603024433665e-07
"TG.54.4.FA18.2","TLCA",0.700826155715729,2.80515802031733e-07
"TG.54.4.FA18.3","TLCA",0.680867776050083,8.18239943108144e-07
"TG.54.4.FA20.1","TLCA",0.686367279556877,5.98858859188224e-07
