"Liver_lipid","Intestinal_ba","bicor","adj_pval"
"PE.16.0_18.1","3a7b",0.0922867234604677,0.756823123284371
"PE.16.0_18.2","3a7b",0.189796238434947,0.438952521680945
"PE.16.0_18.3","3a7b",0.143336047684367,0.654784005307409
"PE.16.0_20.1","3a7b",0.255034268442319,0.281231630715648
"PE.16.0_20.2","3a7b",0.0987594994784907,0.735604281942073
"PE.16.0_20.3","3a7b",-0.17667430084696,0.509108143628485
"PE.16.0_20.4","3a7b",-0.310902167849555,0.176369682938174
"PE.16.0_20.5","3a7b",NA,NA
"PE.16.0_22.4","3a7b",-0.0948427350559507,0.748149002689452
"PE.16.0_22.5","3a7b",0.402841413719383,0.419408391799059
"PE.16.0_22.6","3a7b",0.139497313708291,0.658308764196366
"PE.16.1_17.0","3a7b",-0.0538470500149689,0.975111836473337
"PE.16.1_18.0","3a7b",-0.209194388080564,0.389550136421917
"PE.16.1_18.1","3a7b",-0.162684957479623,0.51919321003148
"PE.16.1_18.2","3a7b",-0.126061036542015,0.643672495261025
"PE.17.0_18.0","3a7b",0.496096051582554,0.235194033357746
"PE.17.0_18.1","3a7b",-0.162689224981122,0.551339416076245
"PE.17.0_18.2","3a7b",0.107317443253325,0.707881726150518
"PE.17.0_20.2","3a7b",NA,NA
"PE.17.0_20.3","3a7b",-0.333372536342468,0.695212200445552
"PE.17.0_20.4","3a7b",-0.113430870003877,0.710254729570683
"PE.17.0_22.1","3a7b",1,NA
"PE.17.0_22.2","3a7b",NA,NA
"PE.17.0_22.5","3a7b",1,NA
"PE.17.0_22.6","3a7b",0.0048560115422718,1
"PE.18.0_18.0","3a7b",0.312070519522235,0.17435635388434
"PE.18.0_18.1","3a7b",-0.0729728211413291,0.819376200070034
"PE.18.0_18.2","3a7b",0.212823552903534,0.380505662203298
"PE.18.0_18.3","3a7b",0.149174639377158,0.637842780397499
"PE.18.0_20.1","3a7b",0.23095748840389,0.336417224235361
"PE.18.0_20.2","3a7b",-0.101098119293738,0.72813575394847
"PE.18.0_20.3","3a7b",-0.0823422526498152,0.804956571302572
