"Plasma_lipid","Biliary_ba","bicor","adj_pval"
"PC.14.0_20.4","3b7a12a",-0.182263898182885,0.618100550310678
"PC.14.0_22.6","3b7a12a",NA,NA
"PC.14.1_20.0","3b7a12a",-0.774511052214715,0.156112693534217
"PC.15.0_18.1","3b7a12a",-0.526645868703979,0.00279473485537799
"PC.15.0_18.2","3b7a12a",-0.609070834839612,0.000429402870537963
"PC.15.0_20.3","3b7a12a",-0.532055789133902,0.470133573406648
"PC.15.0_20.4","3b7a12a",-0.0262159765647276,1
"PC.15.0_22.6","3b7a12a",-0.858530110214307,0.0736293896854458
"PC.16.0_16.0","3b7a12a",0.14492341460204,0.557726671384333
"PC.16.0_16.1","3b7a12a",-0.565924542616398,0.000648713430099679
"PC.16.0_18.0","3b7a12a",-0.259079244158069,0.194929580337855
"PC.16.0_18.1","3b7a12a",-0.494577630054112,0.00283285861094036
"PC.16.0_18.2","3b7a12a",-0.0981445967461409,0.746954055100855
"PC.16.0_18.3","3b7a12a",-0.627166016631598,0.000227897871021999
"PC.16.0_20.1","3b7a12a",-0.369367854427538,0.0400844438856711
"PC.16.0_20.2","3b7a12a",-0.216378307904393,0.309382327946819
"PC.16.0_20.3","3b7a12a",-0.351101444439411,0.0550106016738724
"PC.16.0_20.4","3b7a12a",-0.313167920042493,0.0966434753481081
"PC.16.0_20.5","3b7a12a",0.14305406113967,0.605396736431018
"PC.16.0_22.1","3b7a12a",1,NA
"PC.16.0_22.2","3b7a12a",1,NA
"PC.16.0_22.4","3b7a12a",-0.218088719333171,0.403102519965283
"PC.16.0_22.5","3b7a12a",-0.113735994540611,0.699575781675219
"PC.16.0_22.6","3b7a12a",0.100711158985824,0.768234982528151
"PC.16.1_17.0","3b7a12a",-0.151704690184333,0.794478979481901
"PC.16.1_18.0","3b7a12a",-0.511712636061934,0.00190124639467124
"PC.16.1_18.1","3b7a12a",-0.469536039138244,0.00526797879722252
"PC.16.1_18.2","3b7a12a",-0.460761315706215,0.00636020442558957
"PC.16.1_20.0","3b7a12a",-0.174233907818508,0.533732145316756
"PC.17.0_18.1","3b7a12a",-0.488805533575317,0.00326754030861756
"PC.17.0_18.2","3b7a12a",-0.620567173595034,0.000241019297949772
"PC.17.0_20.3","3b7a12a",-0.0822156360608643,0.834401577583502
"PC.17.0_20.4","3b7a12a",-0.0785207269959942,0.838207302843601
"PC.17.0_22.5","3b7a12a",1,NA
"PC.17.0_22.6","3b7a12a",-0.167468155240988,0.661337630425993
"PC.18.0_18.0","3b7a12a",-0.337688896315796,0.0671515758468016
"PC.18.0_18.1","3b7a12a",-0.463164497272832,0.00603421338514935
"PC.18.0_18.2","3b7a12a",-0.418118781952503,0.0158430297953902
"PC.18.0_18.3","3b7a12a",-0.664222621029631,0.000156738484969705
"PC.18.0_20.0","3b7a12a",-0.195372183437555,0.375996674912229
"PC.18.0_20.1","3b7a12a",-0.174957714244737,0.495585908243964
"PC.18.0_20.2","3b7a12a",-0.174063626545385,0.449957492213255
"PC.18.0_20.3","3b7a12a",-0.284118672842255,0.141064980833304
"PC.18.0_20.4","3b7a12a",-0.209393821524212,0.330366210556451
"PC.18.0_20.5","3b7a12a",-0.0345233211632785,0.992490310093532
"PC.18.0_22.4","3b7a12a",0.143172070187289,0.935955163655893
"PC.18.0_22.5","3b7a12a",-0.216644191487544,0.415862732261148
