Liver_lipid,P value,Mean of Control CRISPR,Mean of Osbpl3 CRISPR,Difference,SE of difference,t ratio,df,Gene,Liver_lipid.y,bicor,adj_pval,abs_bicor,Max_abundance,Lipid_class,significant_corr,fold_change
TG 51:1-FA15:0,0.014098,0.02658,0.0169,0.009676,0.003513,2.755,16,Osbpl3,TG.51.1.FA15.0,0.853075514945577,2.56645226393256e-13,0.853075514945577,0.12979244,TG,yes,0.63581640331076
TG 54:4-FA22:1,0.014119,0.01502,0.009628,0.005389,0.001957,2.754,16,Osbpl3,TG.54.4.FA22.1,0.838443360045042,1.34168014876479e-12,0.838443360045042,0.023535751,TG,yes,0.641011984021305
TG 47:1-FA16:0,0.014265,0.1722,0.1004,0.07175,0.0261,2.749,16,Osbpl3,TG.47.1.FA16.0,0.843363282165983,7.80124538660036e-13,0.843363282165983,0.242285593,TG,yes,0.583042973286876
LacCER d18:1/18:1,0.014603,0.005077,0.00315,0.001927,0.0006983,2.76,15,Osbpl3,LacCER.d18.1.18.1,0.841350758683784,4.98661141050974e-12,0.841350758683784,0.00673674,LacCER,yes,0.620445144770534
TG 49:2-FA17:0,0.014641,0.06565,0.03806,0.02759,0.01008,2.736,16,Osbpl3,TG.49.2.FA17.0,0.809074935500942,2.81622650351385e-11,0.809074935500942,0.081813202,TG,yes,0.57974105102818
TG 49:1-FA16:0,0.014816,0.9218,0.5343,0.3875,0.1419,2.731,16,Osbpl3,TG.49.1.FA16.0,0.853662748716993,2.39659714105195e-13,0.853662748716993,1.402006849,TG,yes,0.579626817096984
TG 52:4-FA18:3,0.014838,0.751,0.4938,0.2572,0.09423,2.73,16,Osbpl3,TG.52.4.FA18.3,0.839422796521873,1.20522793530497e-12,0.839422796521873,0.923527219,TG,yes,0.657523302263649
TG 51:0-FA16:0,0.014946,0.02586,0.01651,0.009346,0.003428,2.726,16,Osbpl3,TG.51.0.FA16.0,0.855036350966207,2.03800513605267e-13,0.855036350966207,0.147187303,TG,yes,0.638437741686002
TG 49:3-FA16:1,0.014993,0.1965,0.1196,0.07695,0.02824,2.725,16,Osbpl3,TG.49.3.FA16.1,0.816133123107814,1.41079355475048e-11,0.816133123107814,0.225258751,TG,yes,0.608651399491094
TG 51:2-FA18:1,0.015085,2.983,1.825,1.158,0.4256,2.722,16,Osbpl3,TG.51.2.FA18.1,0.8533632492951,2.48654131125617e-13,0.8533632492951,3.805747544,TG,yes,0.611800201139792
